material,k
Acetone,0.16
Acetylene (gas),0.018
Acrylic,0.2
"Air, atmosphere (gas)",0.0262
"Air, elevation 10000 m",0.02
Agate,10.9
Alcohol,0.17
Aluminum,205
Aluminum Brass,121
Aluminum Oxide,30
Ammonia (gas),0.0249
Antimony,18.5
Apple,0.39
Argon (gas),0.016
Asbestos-cement board,0.744
Asbestos-cement sheets,0.166
Asbestos-cement,2.07
"Asbestos, loosely packed",0.15
Asbestos mill board,0.14
Asphalt,0.75
Balsa wood,0.048
Bitumen,0.17
Bitumen/felt layers,0.5
"Beef, lean",0.45
Benzene,0.16
Beryllium,218
Bismuth,8.1
Bitumen,0.17
Blast furnace gas (gas),0.02
Brass,109
Breeze block,0.15
Brick dense,1.31
"Brick, fire",0.47
"Brick, insulating",0.15
"Brickwork, common (Building Brick)",0.8
"Brickwork, dense",1.6
Bromine (gas),0.004
Bronze,110
Brown iron ore,0.58
Butter,0.2
Cadmium,92.1
Calcium silicate,0.05
Carbon,1.7
Carbon dioxide (gas),0.0146
Carbon monoxide,0.0232
Cast iron,58
"Cellulose, cotton, wood pulp and regenerated",0.23
"Cement, Portland",0.29
"Cement, mortar",1.73
Ceramic materials,
Chalk,0.09
Charcoal,0.084
Chlorinated poly-ether,0.13
Chlorine (gas),0.0081
Chrome Nickel Steel,16.3
Chromium,94
Chrom-oxide,0.42
"Clay, dry to moist",0.8
"Clay, saturated",1.5
Coal,0.2
Cobalt,69
Cod,0.54
Coke,0.184
"Concrete, lightweight",0.2
"Concrete, medium",0.55
"Concrete, dense",1.4
"Concrete, stone",1.7
Constantan,23.3
Copper,401
Corian (ceramic filled),1.06
Cork board,0.043
"Cork, re-granulated",0.044
Cork,0.07
Cotton,0.04
Cotton wool,0.029
Carbon Steel,54
Cotton Wool insulation,0.029
Diamond,1000
Diatomaceous earth (Sil-o-cel),0.06
Diatomite,0.12
Duralium,129
"Earth, dry",1.5
Ebonite,0.17
Emery,11.6
Engine Oil,0.15
Ethane (gas),0.018
Ether,0.14
Ethylene (gas),0.017
Epoxy,0.35
Ethylene glycol,0.25
Feathers,0.034
Felt insulation,0.04
Fiberglass,0.04
Fiber insulating board,0.048
Fiber hardboard,0.2
Fire-clay brick,1.4
Fluorine (gas),0.0254
Foam glass,0.045
Dichlorodifluoromethane R-12 (liquid),0.09
Gasoline,0.15
Glass,1.05
"Glass, Pearls, dry",0.18
"Glass, Pearls, saturated",0.76
"Glass, window",0.96
"Glass, wool Insulation",0.04
Glycerol,0.28
Gold,310
Granite,2.5
Graphite,168
Gravel,0.7
"Ground or soil, very moist area",1.4
"Ground or soil, moist area",1
"Ground or soil, dry area",0.5
"Ground or soil, very dry area",0.33
Gypsum board,0.17
Hairfelt,0.05
Hardboard high density,0.15
Hardwoods,0.16
Helium (gas),0.142
Honey,0.5
Hydrochloric acid (gas),0.013
Hydrogen (gas),0.168
Hydrogen sulfide (gas),0.013
Ice,2.18
Ingot iron,52.5
Insulation materials,0.05
Iodine,0.44
Iridium,147
Iron,80
"Iron, wrought",59
"Iron, cast",55
Iron-oxide,0.58
Kapok insulation,0.034
Kerosene,0.15
Krypton (gas),0.0088
Lead Pb,35
"Leather, dry",0.14
Limestone,1.3
Lithium,301
Magnesia insulation,0.07
Magnesite,4.15
Magnesium,156
Magnesium alloy,70 - 145
Marble,2.55
"Mercury, liquid",8.3
Methane (gas),0.03
Methanol,0.21
Mica,0.71
Milk,0.53
"Mineral wool insulation materials, wool blankets ..",0.04
Molybdenum,138
Monel,26
Neon (gas),0.046
Neoprene,0.05
Nickel,91
Nitric oxide (gas),0.0238
Nitrogen (gas),0.024
Nitrous oxide (gas),0.0151
"Nylon 6, Nylon 6/6",0.25
"Oil, machine lubricating SAE 50",0.15
Olive oil,0.17
Oxygen (gas),0.024
Palladium,70.9
Paper,0.05
Paraffin Wax,0.25
Peat,0.08
"Perlite, atmospheric pressure",0.031
"Perlite, vacuum",0.00137
Phenolic cast resins,0.15
Phosphorbronze,110
Pinchbeck,159
Pitch,0.13
Pit coal,0.24
Plaster light,0.2
"Plaster, metal lath",0.47
"Plaster, sand",0.71
"Plaster, wood lath",0.28
Plasticine,0.725
"Plastics, foamed (insulation materials)",0.03
Platinum,70
Plutonium,6.7
Plywood,0.13
Polycarbonate,0.19
Polyester,0.05
"Polyethylene low density, PEL",0.33
Polyisoprene natural rubber,0.13
Polyisoprene hard rubber,0.16
"Polystyrene, expanded styrofoam",0.03
Polystyrol,0.043
Polyurethane foam,0.03
Porcelain,1.5
